Secondary School Code,School Name,Address Line #1,Address Line #2,Domestic Address #3,City,State,ZIP,Foreign Address #3,Country Name,Website
101232,NICEVILLE HIGH SCHOOL,800 JOHN SIMS PRKWY E,,,NICEVILLE,FL,32578,1299,,
101233,ROCKY BAYOU CHRISTIAN SCHOOL,2101 PARTIN DR N,,,NICEVILLE,FL,32578,1501,,
101234,SCHECK HILLEL CMTY SCHOOL,19000 NE 25TH AVE,,,MIAMI,FL,33180,3209,,
101235,NORTH MIAMI SENIOR HIGH SCHOOL,13110 NE 8TH AVE,,,NORTH MIAMI,FL,33161,4108,,
101236,NORTH MIAMI BEACH SENIOR HS,1247 NE 167TH ST,,,NORTH MIAMI BCH,FL,33162,2723,,
101238,PINEAPPLE COVE CLASSICAL ACDMY,6162 MINTON RD NW,,,PALM BAY,FL,32907,1979,,
101239,BENJAMIN SCHOOL,4875 GRANDIFLORA RD,,,PALM BEACH GDNS,FL,33418,6737,,
101241,NORTH DADE CHRISTIAN SCHOOL,1121 NORTHEAST 205 TERRACE,,,MIAMI,FL,33179,,,
101243,AIRPORT BAPTIST SCHOOL,4800 SOUTHWEST 20TH STREET,,,OCALA,FL,34471,,,
101244,TEMPLE BAPTIST SCHOOL,18841 STATE ROAD 31,,,NORTH FT MYERS,FL,33917,5525,,
101245,ALLISON ACADEMY,1881 NE 164TH ST,,,N MIAMI BEACH,FL,33162,4109,,
101248,CYPRESS CREEK HIGH SCHOOL,1101 BEAR CROSSING DR,,,ORLANDO,FL,32824,6004,,
101249,OKEECHOBEE CHRISTIAN ACADEMY,701 S PARROTT AVE,,,OKEECHOBEE,FL,34974,5137,,
101254,OCALA CHRISTIAN ACADEMY,1714 SOUTHEAST 36TH AVENUE,,,OCALA,FL,34471,,,
101255,PARRISH COMMUNITY HIGH SCHOOL,7505 FT HAMER RD,,,PARRISH,FL,34219,,,
101257,SAINT JOHN LUTHERAN HS,1915 SE LAKE WEIR AVE,,,OCALA,FL,34471,5424,,
101258,FOREST HIGH SCHOOL,5000 SE MARICAMP RD,,,OCALA,FL,34480,7422,,
101259,VANGUARD HIGH SCHOOL,7 NW 28TH ST,,,OCALA,FL,34475,3486,,
101260,GRANT CAREER AND TECH EDU CTR,820 SPRING LAKE SQ,,,WINTER HAVEN,FL,33881,1338,,
101265,MARTIN COUNTY ACCELERATION ACD,742 SW FEDERAL HWY,,,STUART,FL,34994,2937,,
101267,BEREAN CHRISTIAN ACADEMY,3060 MOODY AVE,,,ORANGE PARK,FL,32065,6805,,
101268,OLDSMAR CHRISTIAN SCHOOL,650 BURBANK RD,,,OLDSMAR,FL,34677,3817,,
101269,MIAMI CAROL CITY SENIOR HS,3301 MIAMI GARDENS DR,,,MIAMI GARDENS,FL,33056,,,
101270,OKEECHOBEE HIGH SCHOOL,2800 US HIGHWAY 441 N,,,OKEECHOBEE,FL,34972,1847,,
